"序号","代码","名称","最新价","涨跌额","涨跌幅","5分钟涨跌幅","60日涨跌幅","年初至今涨跌幅","买入价","卖出价","买量","卖量","成交量","成交额","股息率TTM","股息率LFY","今开","昨收","最高","最低","换手率%","涨跌速率%","振幅%","市盈率TTM","市盈率(静)","市净率","量比","委比","总市值","港股市值","总股本","流通股本","5日涨跌幅","10日涨跌幅","20日涨跌幅","120日涨跌幅","250日涨跌幅","所属行业"
"727","00724","瑞鑫国际集团","0.046","+0.001","2.22%","-6.12%","6.98%","12.20%","0.046","0.049","6.00万","9.00万","90.20万","4.36万","0.000%","0.000%","0.045","0.045","0.053","0.045","0.11","0.00","17.78","亏损","亏损","-","1.66","73.15%","3864.80万","3864.80万","8.4亿","8.4亿","15.00%","15.00%","6.98%","4.55%","-13.21%","半导体"
"728","08363","爵士芭蕾舞学院","0.920","+0.020","2.22%","0.00%","-49.45%","-61.67%","0.920","0.940","8000","5.00万","29.60万","26.90万","0.000%","0.000%","0.890","0.900","0.930","0.890","0.08","0.00","4.44","亏损","亏损","-","1.12","4.49%","3.54亿","3.54亿","3.85亿","3.85亿","29.58%","22.67%","-15.60%","-46.82%","-22.69%","教育"
"729","01710","致丰工业电子","0.184","+0.004","2.22%","0.00%","0.00%","-3.16%","0.180","0.184","14.80万","51.20万","8.80万","1.62万","8.700%","8.695%","0.184","0.180","0.184","0.184","0.01","0.00","0.00","36.800","8.363","0.536","0.29","-74.26%","1.84亿","1.84亿","10亿","10亿","-2.13%","5.75%","5.14%","18.71%","-14.81%","工业零件及器材"
"730","00175","吉利汽车","29.950","+0.650","2.22%","0.34%","43.65%","13.02%","29.900","29.950","7000","154.80万","7446.37万","22.10亿","0.780%","0.784%","29.850","29.300","30.100","29.000","0.76","1.01","3.75","41.424","32.625","4.345","1.03","-26.58%","2940.70亿","2940.70亿","98.19亿","98.19亿","1.70%","-5.52%","-8.41%","87.66%","122.68%","汽车"
"731","00489","东风集团股份","8.320","+0.180","2.21%","0.36%","3.35%","-7.96%","8.310","8.320","4.40万","1.20万","1576.48万","1.30亿","4.630%","4.591%","8.090","8.140","8.320","8.060","0.55","0.48","3.19","9.063","5.094","0.493","1.04","-5.78%","716.86亿","237.60亿","86.16亿","28.56亿","0.85%","-0.24%","-13.42%","50.53%","46.66%","商业用车及货车"
"732","03031","海通AESG","14.340","+0.310","2.21%","0.00%","20.50%","13.36%","14.200","0.000","700","0","3.50万","49.89万","0.000%","0.000%","14.240","14.030","14.390","14.200","0.10","0.00","1.35","0.992","428.059","-","1.30","100.00%","4.80亿","4.80亿","3350万","3350万","5.91%","5.44%","5.05%","0.00%","0.00%","-"
"733","01666","同仁堂科技","5.110","+0.110","2.20%","0.00%","5.80%","5.36%","5.090","5.110","1.00万","3000","190.80万","960.30万","3.420%","3.424%","5.150","5.000","5.150","4.980","0.30","-0.20","3.40","19.578","14.233","1.037","1.31","-33.00%","65.45亿","32.13亿","12.81亿","6.29亿","0.99%","4.07%","5.58%","-12.50%","-33.50%","中医药"
"734","03007","TR富时50","387.700","+8.300","2.19%","0.00%","12.87%","13.50%","0.000","0.000","0","0","0","0","0.000%","0.000%","387.700","379.400","0.000","0.000","0.00","0.00","0.00","1.023","130508.133","-","0.00","0.00%","11.52亿","11.52亿","297.07万","297.07万","2.19%","2.03%","9.21%","22.11%","29.49%","-"
"735","01288","农业银行","2.810","+0.060","2.18%","-0.35%","-1.40%","-1.06%","2.810","2.820","416.90万","1421.90万","1.11亿","3.11亿","7.080%","7.081%","2.780","2.750","2.830","2.770","0.36","-0.35","2.18","4.561","4.212","0.465","0.94","-22.13%","9834.52亿","863.76亿","3499.83亿","307.39亿","1.44%","-2.43%","-5.07%","-0.35%","-1.40%","银行"
"736","01020","赛伯乐国际控股","0.094","+0.002","2.17%","0.00%","-31.88%","-43.37%","0.092","0.094","4000","4.00万","272.80万","25.23万","0.000%","0.000%","0.089","0.092","0.096","0.089","0.07","0.00","7.61","亏损","亏损","0.839","1.95","-3.67%","3.74亿","3.74亿","39.75亿","39.75亿","6.82%","1.08%","-1.05%","-22.95%","-36.05%","电子商贸及互联网服务"
"737","00005","汇丰控股","42.600","+0.900","2.16%","-0.23%","9.79%","4.54%","42.600","42.650","25.28万","41.28万","2342.84万","9.98亿","1.830%","9.223%","42.500","41.700","43.000","42.250","0.11","-0.12","1.80","亏损","15.373","0.592","1.05","-52.20%","8815.52亿","8815.52亿","206.94亿","206.94亿","3.02%","-0.35%","-0.35%","24.38%","-26.68%","银行"
"738","09181","PP亚洲创科-U","19.900","+0.420","2.16%","0.00%","30.41%","15.16%","0.000","0.000","0","0","0","0","0.000%","0.000%","19.900","19.480","0.000","0.000","0.00","0.00","0.00","1.010","24875.000","-","0.00","0.00%","1592.00万","1592.00万","80万","80万","3.65%","3.00%","6.53%","48.07%","78.64%","-"
"739","83169","领航中国-R","11.860","+0.250","2.15%","0.00%","16.16%","14.70%","11.850","12.100","1000","1.40万","3.05万","35.69万","0.000%","0.000%","11.700","11.610","11.700","11.700","0.10","0.00","0.00","1.023","406.164","-","7.30","-27.85%","3.46亿","3.46亿","2920万","2920万","4.22%","4.31%","9.51%","18.84%","41.87%","-"
"740","00259","亿都(国际控股)","1.900","+0.040","2.15%","0.00%","7.34%","-2.56%","1.900","1.950","1.00万","15.00万","16.80万","31.71万","2.630%","2.631%","1.880","1.860","1.900","1.860","0.02","0.00","2.15","13.380","15.322","0.992","1.13","8.39%","18.99亿","18.99亿","10亿","10亿","8.57%","6.15%","0.00%","22.58%","84.47%","消费电子产品"
"741","08495","1957 & CO.","0.190","+0.004","2.15%","0.00%","0.00%","-2.56%","0.186","0.190","1.20万","4.40万","396.40万","75.32万","0.000%","0.000%","0.189","0.186","0.190","0.189","1.03","0.00","0.54","亏损","亏损","1.250","59.70","71.80%","7296.00万","7296.00万","3.84亿","3.84亿","1.06%","2.70%","0.53%","-19.15%","-23.69%","餐饮"
"742","03163","平安中国多因子","47.500","+1.000","2.15%","0.00%","13.85%","13.04%","0.000","0.000","0","0","0","0","0.000%","0.000%","47.500","46.500","0.000","0.000","0.00","0.00","0.00","0.997","52777.777","-","0.00","0.00%","4275.00万","4275.00万","90万","90万","3.67%","2.37%","10.11%","23.96%","43.72%","-"
"743","02283","东江集团控股","3.820","+0.080","2.14%","0.00%","57.85%","52.80%","3.790","3.820","1.00万","2000","58.61万","224.97万","2.880%","3.664%","3.810","3.740","3.890","3.750","0.07","0.79","3.74","13.890","10.552","2.819","0.63","-52.87%","31.83亿","31.83亿","8.33亿","8.33亿","3.52%","16.82%","23.23%","85.44%","7.91%","工业零件及器材"
"744","00916","龙源电力","13.400","+0.280","2.13%","-0.15%","109.70%","72.46%","13.400","13.420","28.70万","7000","3200.20万","4.22亿","0.870%","0.873%","13.480","13.120","13.580","12.700","0.96","-0.45","6.71","20.679","22.635","1.765","1.19","-17.11%","1076.88亿","447.56亿","80.36亿","33.4亿","5.68%","9.30%","15.52%","159.19%","195.68%","非传统/可再生能源"
"745","00585","意马国际","0.960","+0.020","2.13%","0.00%","20.00%","20.00%","0.960","1.100","9.60万","8000","0","0","0.000%","0.000%","0.960","0.940","0.000","0.000","0.00","0.00","0.00","亏损","亏损","1.159","0.00","83.78%","7.97亿","7.97亿","8.3亿","8.3亿","1.05%","-20.00%","20.00%","18.52%","15.66%","证券及经纪"
"746","08050","量子思维","0.480","+0.010","2.13%","0.00%","-1.03%","24.68%","0.440","0.480","4.00万","9.20万","42.80万","20.38万","0.000%","0.000%","0.470","0.470","0.490","0.465","0.03","0.00","5.32","48.000","亏损","17.777","2.24","-65.63%","6.51亿","6.51亿","13.56亿","13.56亿","37.14%","33.33%","18.52%","50.00%","74.55%","系统开发及资讯科技顾问"
"747","00673","中国卫生集团","0.048","+0.001","2.13%","0.00%","33.33%","23.08%","0.047","0.048","12.00万","36.60万","270.60万","12.53万","0.000%","0.000%","0.046","0.047","0.048","0.045","0.07","0.00","6.38","亏损","亏损","2.086","0.69","-75.23%","1.99亿","1.99亿","41.4亿","41.4亿","2.13%","-4.00%","4.35%","-34.25%","-64.71%","医疗保健设备"
"748","01616","星宏传媒","0.192","+0.004","2.13%","0.00%","28.00%","1.59%","0.162","0.192","2000","5.60万","10.00万","1.92万","0.000%","0.000%","0.192","0.188","0.192","0.192","0.01","0.00","0.00","亏损","8.727","0.222","4.72","-93.10%","2.91亿","2.91亿","15.18亿","15.18亿","0.00%","-3.52%","1.59%","-52.00%","-84.00%","影视娱乐"
"749","01645","海纳智能","0.960","+0.020","2.13%","2.13%","57.38%","74.55%","0.940","0.960","4000","11.20万","174.00万","159.12万","0.000%","0.000%","0.950","0.940","0.960","0.850","0.37","-0.01","11.70","10.434","15.737","1.545","1.81","-37.87%","4.51亿","4.51亿","4.7亿","4.7亿","14.29%","11.63%","50.00%","15.66%","0.00%","工业零件及器材"
"750","83100","易方达沪深三-R","55.720","+1.160","2.13%","0.00%","15.51%","10.38%","55.700","56.100","5000","5000","1.10万","60.99万","0.000%","0.000%","55.300","54.560","55.560","55.300","1.38","0.00","0.48","0.983","69650.000","-","0.50","9.09%","4457.60万","4457.60万","80万","80万","5.17%","4.62%","1.72%","20.50%","42.73%","-"
"751","00030","万隆控股集团","0.485","+0.010","2.11%","2.11%","64.41%","34.72%","0.480","0.485","8.60万","273.40万","2199.40万","1057.30万","0.000%","0.000%","0.475","0.475","0.490","0.470","0.34","0.00","4.21","69.285","60.625","3.789","0.95","-46.38%","31.27亿","31.27亿","64.48亿","64.48亿","11.49%","15.48%","7.78%","103.78%","53.97%","食品添加剂"
"752","09031","海通AESG-U","1.850","+0.038","2.10%","0.00%","20.60%","13.50%","1.800","0.000","7500","0","0","0","0.000%","0.000%","1.850","1.812","0.000","0.000","0.00","0.00","0.00","0.992","55.223","-","0.00","100.00%","6197.50万","6197.50万","3350万","3350万","5.47%","5.71%","4.99%","0.00%","0.00%","-"
"753","03868","信义能源","5.370","+0.110","2.09%","0.37%","30.02%","2.09%","5.360","5.370","3.60万","3.60万","1152.17万","6091.70万","2.570%","2.383%","5.270","5.260","5.380","5.190","0.16","0.19","3.61","39.197","42.960","3.885","0.59","-23.40%","381.81亿","381.81亿","71.1亿","71.1亿","5.50%","7.83%","-0.19%","97.43%","173.28%","非传统/可再生能源"
"754","00399","领航医药生物科技","0.245","+0.005","2.08%","0.41%","-0.81%","0.82%","0.244","0.250","10.00万","6.50万","81.50万","19.70万","0.000%","0.000%","0.240","0.240","0.245","0.239","0.06","0.00","2.50","亏损","亏损","-","4.23","-6.30%","3.59亿","3.59亿","14.64亿","14.64亿","0.41%","0.00%","0.41%","0.41%","-9.26%","个人护理"
"755","01750","全达电器集团控股","0.049","+0.001","2.08%","0.00%","-3.92%","0.00%","0.049","0.050","125.00万","20.00万","422.00万","21.03万","0.000%","0.000%","0.049","0.048","0.051","0.049","0.23","0.00","4.17","亏损","8.166","0.466","2.14","25.84%","8820.00万","8820.00万","18亿","18亿","2.08%","8.89%","6.52%","-28.99%","-51.96%","工业零件及器材"
"756","03618","重庆农村商业银行","3.460","+0.070","2.06%","0.00%","4.22%","9.49%","3.460","3.470","5.40万","30.90万","417.80万","1446.46万","7.250%","7.254%","3.420","3.390","3.500","3.400","0.17","0.29","2.95","4.027","3.657","0.367","0.67","-40.02%","392.95亿","86.96亿","113.57亿","25.13亿","1.17%","0.58%","6.13%","2.06%","2.43%","银行"
"757","00240","利基控股","0.990","+0.020","2.06%","0.00%","13.79%","-1.00%","0.970","0.990","10.00万","5.00万","23.06万","22.71万","4.850%","4.848%","0.980","0.970","0.990","0.980","0.02","0.00","1.03","3.600","4.142","0.929","0.54","-2.38%","12.29亿","12.29亿","12.42亿","12.42亿","4.21%","5.32%","2.06%","20.73%","33.42%","重型基建"
"758","01772","赣锋锂业","129.100","+2.600","2.06%","0.47%","106.39%","39.42%","128.600","129.100","200","1.46万","387.11万","4.93亿","0.240%","0.244%","128.500","126.500","129.500","123.200","1.61","-0.15","4.98","436.148","437.627","15.165","0.55","-17.18%","1735.46亿","310.13亿","13.44亿","2.4亿","0.16%","1.49%","15.17%","214.11%","317.52%","-"
"759","02225","今海国际","1.490","+0.030","2.05%","0.00%","10.37%","7.97%","1.490","1.500","2.50万","2.50万","23.50万","36.43万","0.000%","0.000%","1.510","1.460","1.590","1.490","0.02","0.00","6.85","亏损","亏损","12.735","16.79","25.58%","18.33亿","18.33亿","12.3亿","12.3亿","8.76%","-0.67%","7.97%","0.00%","-10.78%","其他支援服务"
"760","02230","羚邦集团","0.149","+0.003","2.05%","0.00%","34.23%","26.27%","0.144","0.149","17.00万","4.50万","50.50万","7.33万","3.360%","3.355%","0.146","0.146","0.150","0.142","0.03","1.35","5.48","7.842","8.277","0.588","0.39","-25.14%","2.97亿","2.97亿","19.92亿","19.92亿","-0.67%","7.19%","20.16%","26.27%","-1.32%","影视娱乐"
"761","02269","药明生物","124.300","+2.500","2.05%","0.00%","47.98%","20.91%","124.200","124.400","2000","3000","1090.99万","13.47亿","0.000%","0.000%","122.000","121.800","125.400","121.200","0.27","-0.16","3.45","365.588","470.833","34.346","0.47","-23.60%","5086.54亿","5086.54亿","40.92亿","40.92亿","5.70%","11.18%","25.94%","112.12%","237.48%","生物技术"
"762","00117","天利控股集团","0.500","+0.010","2.04%","0.00%","-7.41%","0.00%","0.500","0.530","4.00万","2000","115.20万","56.36万","0.000%","0.000%","0.460","0.490","0.490","0.460","0.16","0.00","6.12","亏损","亏损","0.385","1.31","74.45%","3.72亿","3.72亿","7.45亿","7.45亿","-12.28%","0.00%","-12.28%","-29.58%","-9.09%","工业零件及器材"
"763","09987","百胜中国-S","472.400","+9.400","2.03%","0.00%","4.73%","6.25%","472.400","472.600","1400","1100","39.42万","1.86亿","0.200%","0.000%","468.600","463.000","474.600","468.600","0.09","0.04","1.30","32.579","32.579","4.115","0.85","-12.58%","1979.86亿","1979.86亿","4.19亿","4.19亿","4.28%","2.87%","5.21%","0.00%","0.00%","餐饮"
"764","00679","亚洲联网科技","1.510","+0.030","2.03%","0.00%","23.77%","22.76%","1.500","1.550","6.00万","9.00万","62.50万","92.56万","1.990%","1.324%","1.440","1.480","1.530","1.430","0.15","0.00","6.76","1.099","1.048","0.338","26.04","53.33%","6.44亿","6.44亿","4.26亿","4.26亿","1.34%","2.72%","7.86%","17.97%","2.03%","工业零件及器材"
"765","03788","中国罕王","1.510","+0.030","2.03%","0.00%","-10.12%","10.22%","1.510","1.540","1.10万","20.00万","319.20万","484.23万","7.350%","4.900%","1.490","1.480","1.560","1.490","0.16","-0.66","4.73","7.512","9.041","3.219","1.31","-25.19%","29.60亿","29.60亿","19.6亿","19.6亿","0.67%","7.86%","11.85%","-1.95%","-25.98%","钢铁"
"766","01185","中国航天万源","0.152","+0.003","2.01%","0.00%","60.00%","61.70%","0.152","0.157","10.00万","10.00万","233.80万","35.72万","0.000%","0.000%","0.149","0.149","0.158","0.149","0.05","-3.18","6.04","亏损","亏损","-","1.60","-41.72%","6.64亿","6.64亿","43.69亿","43.69亿","3.40%","-8.43%","26.67%","2.70%","-28.64%","环保工程"
"767","03067","安硕恒生科技","21.320","+0.420","2.01%","-0.09%","25.93%","21.41%","21.300","21.320","600","7100","633.54万","1.34亿","0.000%","0.000%","21.240","20.900","21.360","20.960","2.31","0.00","1.91","1.025","77.668","-","0.72","-32.71%","58.52亿","58.52亿","2.75亿","2.75亿","0.66%","3.90%","17.79%","0.00%","0.00%","-"
"768","00966","中国太平","14.220","+0.280","2.01%","-0.28%","11.79%","1.72%","14.220","14.240","6.76万","4.00万","561.42万","8010.62万","2.110%","2.109%","14.160","13.940","14.440","14.100","0.16","0.00","2.44","9.944","5.672","0.651","0.83","12.63%","511.07亿","511.07亿","35.94亿","35.94亿","-0.28%","-5.70%","-6.32%","-4.69%","-15.16%","保险"
"769","00018","东方报业集团","0.510","+0.010","2.00%","0.00%","34.21%","14.61%","0.500","0.510","48.00万","1.00万","10.80万","5.54万","3.920%","0.000%","0.530","0.500","0.530","0.500","0.01","0.00","6.00","30.000","亏损","0.662","1.04","-4.48%","12.23亿","12.23亿","23.98亿","23.98亿","-1.92%","6.25%","2.00%","24.39%","-1.92%","出版"
"770","00632","中港石油","0.255","+0.005","2.00%","0.00%","19.72%","-8.93%","0.255","0.270","6.40万","14.60万","96.20万","24.60万","0.000%","0.000%","0.250","0.250","0.265","0.250","0.11","-2.00","6.00","亏损","亏损","0.870","2.44","-39.75%","2.15亿","2.15亿","8.42亿","8.42亿","2.41%","2.00%","-3.77%","-1.16%","-57.50%","气油生产商"
"771","01703","首沣控股","0.510","+0.010","2.00%","0.00%","6.25%","0.00%","0.480","0.500","20.00万","6.00万","61.50万","30.36万","0.000%","0.000%","0.495","0.500","0.510","0.485","0.05","0.00","5.00","亏损","亏损","7.285","0.26","-66.53%","5.87亿","5.87亿","11.5亿","11.5亿","-5.56%","-1.92%","-5.56%","67.21%","70.00%","餐饮"
"772","03091","A日兴电游","115.050","+2.250","1.99%","0.00%","22.92%","10.47%","112.000","0.000","130","0","930","10.68万","0.000%","0.000%","114.700","112.800","115.050","114.550","0.06","0.00","0.44","1.008","76496.008","-","0.41","100.00%","1.73亿","1.73亿","150.4万","150.4万","3.93%","3.65%","7.17%","24.70%","0.00%","-"
"773","09169","领航中国-U","1.846","+0.036","1.99%","0.00%","19.10%","15.95%","1.842","0.000","1000","0","3.77万","6.96万","0.000%","0.000%","1.870","1.810","1.870","1.828","0.13","0.00","2.32","1.023","63.219","-","1.48","100.00%","5390.32万","5390.32万","2920万","2920万","4.18%","5.25%","9.88%","28.37%","54.22%","-"
"774","09115","安硕恒生指数-U","13.870","+0.270","1.99%","0.00%","13.78%","9.64%","0.000","14.960","0","900","0","0","0.000%","0.000%","13.870","13.600","0.000","0.000","0.00","-0.07","0.00","1.017","5334.615","-","0.00","-100.00%","3606.20万","3606.20万","260万","260万","2.59%","1.91%","5.88%","18.93%","13.20%","-"
"775","08125","仁德资源","1.030","+0.020","1.98%","0.00%","236.60%","123.91%","0.970","1.050","3.20万","3.20万","130.88万","134.40万","0.000%","0.000%","1.000","1.010","1.120","1.000","0.84","0.00","11.88","亏损","亏损","2.043","0.68","17.24%","1.61亿","1.61亿","1.57亿","1.57亿","4.04%","1.98%","10.75%","209.31%","149.39%","楼宇建造"
"776","03193","南方中证5G","8.000","+0.155","1.98%","0.00%","-5.49%","-0.31%","8.000","8.100","600","2200","1.06万","8.44万","0.000%","0.000%","7.945","7.845","8.030","7.945","0.35","0.00","1.08","1.035","2666.666","-","0.10","-57.14%","2400.00万","2400.00万","300万","300万","1.27%","-4.82%","-10.01%","0.00%","0.00%","-"
"777","00725","恒都集团","1.040","+0.020","1.96%","-2.80%","73.33%","67.74%","1.010","1.070","2.00万","1.00万","2.20万","2.21万","0.000%","0.000%","0.960","1.020","1.070","0.960","0.01","0.00","10.78","亏损","亏损","0.379","0.43","23.44%","2.07亿","2.07亿","1.99亿","1.99亿","1.96%","-1.89%","31.65%","70.49%","55.22%","工业零件及器材"
"778","01468","京基金融国际","0.260","+0.005","1.96%","0.00%","-3.70%","-3.70%","0.265","0.285","8.00万","13.00万","341.00万","96.78万","0.000%","0.000%","0.265","0.255","0.315","0.260","0.07","0.00","21.57","亏损","亏损","2.988","0.52","31.38%","12.61亿","12.61亿","48.5亿","48.5亿","4.00%","-13.33%","0.00%","-7.14%","-32.47%","综合企业"
"779","02203","脑洞科技","0.260","+0.005","1.96%","0.00%","-1.89%","-10.34%","0.245","0.270","20.00万","1.00万","0","0","0.000%","0.000%","0.260","0.255","0.000","0.000","0.00","1.96","0.00","亏损","亏损","1.040","0.00","53.85%","2.08亿","2.08亿","8亿","8亿","4.00%","1.96%","4.00%","-17.46%","-10.34%","半导体"
"780","08429","冰雪集团","0.260","+0.005","1.96%","0.00%","0.00%","0.00%","0.255","0.260","10.00万","18.50万","444.50万","112.94万","0.770%","0.000%","0.255","0.255","0.260","0.250","0.93","0.00","3.92","亏损","亏损","1.547","2.75","-34.15%","1.25亿","1.25亿","4.8亿","4.8亿","7.00%","4.84%","5.69%","-5.45%","-58.73%","广告及宣传"
